"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment","SMD"
"C68","C0402","50.241mm","29.134mm","50.244mm","29.128mm","49.744mm","29.128mm","T","0","DNP/47nF","True"
"R69","R0402","48.209mm","33.426mm","48.212mm","33.446mm","48.212mm","32.946mm","T","90","300R","True"
"C67","C0402","46.685mm","31.674mm","46.688mm","31.668mm","46.188mm","31.668mm","T","0","1nF/C0G","True"
"LED2","LED0603_GREEN","20.269mm","35.408mm","20.272mm","35.4mm","20.272mm","36.162mm","T","270","»ÆÂÌÉ«","True"
"R62","R0603","5.029mm","78.359mm","5.032mm","78.362mm","4.27mm","78.362mm","B","0","1M","True"
"D16","SOD123F","5.41mm","19.228mm","5.413mm","19.222mm","4.013mm","19.222mm","T","0","DSK24/40V/2A","True"
"LCD1","LCD-128X160-1.77INCH_IPS_SOLDER_FLIP_TOP","23.978mm","77.597mm","60.05mm","77.6mm","23.97mm","82.8mm","B","90","LCD_Universal_128x160_14pin+SOLDER","True"
"LCD2","LCD-128X160-1.77INCH_IPS_PLUG_FLIP_BACK_FH34SRJ-14S-0.5SH(50)","49.835mm","77.597mm","60.05mm","77.6mm","51.2mm","80.85mm","T","90","LCD_Universal_128x160_14pin+CONN","True"
"R68","R0402","9.347mm","15.164mm","9.35mm","15.158mm","8.85mm","15.158mm","T","0","33R","True"
"R21","R0402","9.347mm","16.434mm","9.35mm","16.428mm","8.85mm","16.428mm","T","0","33R","True"
"P2","MOLEX_53780-0270+MOLEX_51146-0200 MINI","7.315mm","21.59mm","7.3mm","20.1mm","6.675mm","19.15mm","B","0","CONN_X2 MOLEX 53780-0270 / 51146-0200","True"
"D15","SMAF - BI","71.704mm","21.006mm","71.7mm","21mm","71.7mm","19mm","T","90","DNP/SMAFJ26CA","True"
"C46","C0805","34.493mm","35.484mm","34.496mm","35.478mm","34.496mm","34.557mm","T","90","10uF","True"
"D14","SMAF - BI","60.147mm","33.325mm","60.15mm","33.319mm","62.15mm","33.319mm","T","180","DNP/SMAFJ26CA","True"
"D13","SOD123F","23.317mm","21.895mm","23.32mm","21.889mm","24.72mm","21.889mm","T","180","DSK24/40V/2A","True"
"D12","SOD123F","41.859mm","22.784mm","41.862mm","22.778mm","41.862mm","21.378mm","T","90","DSK24/40V/2A","True"
"D11","SOD-323","34.112mm","29.87mm","34.115mm","29.89mm","34.115mm","31.04mm","T","270","BZX384-B5V6","True"
"D10","SOD-323","43.129mm","32.41mm","43.132mm","32.43mm","43.132mm","31.28mm","T","90","BZX384-B5V6","True"
"D9","SOD-323","27.127mm","26.975mm","27.13mm","26.969mm","28.28mm","26.969mm","T","180","BZX384-B3V3","True"
"D8","SOD-323","43.51mm","26.568mm","43.513mm","26.588mm","43.513mm","25.438mm","T","90","BZX384-B3V3","True"
"R67","R0603","10.77mm","27.61mm","10.78mm","27.604mm","10.78mm","28.366mm","B","270","0R/NTC-10K","True"
"U7","TI PVSON-10 3x3MM DRC","25.349mm","31.166mm","25.352mm","31.16mm","26.352mm","32.635mm","T","270","TPS63000","True"
"C71","C0402","14.681mm","18.974mm","14.684mm","18.968mm","15.184mm","18.968mm","T","180","100nF","True"
"R8","R0402","39.319mm","11.074mm","39.322mm","11.094mm","39.322mm","10.594mm","T","90","DNP","True"
"R6","R0402","38.811mm","14.148mm","38.814mm","14.142mm","39.314mm","14.142mm","T","180","0R","True"
"C6","C0402","38.811mm","12.878mm","38.814mm","12.872mm","39.314mm","12.872mm","T","180","DNP","True"
"R57","R0402","24.841mm","17.577mm","24.844mm","17.571mm","25.344mm","17.571mm","T","180","33R","True"
"L8","FER0805","31.445mm","29.007mm","31.448mm","29.001mm","32.369mm","29.001mm","T","180","1K@100MHz","True"
"R37","R0603","16.332mm","37.262mm","16.335mm","37.256mm","17.097mm","37.256mm","T","180","0R/DNP","True"
"R4","R0402","48.717mm","13.386mm","48.72mm","13.38mm","48.22mm","13.38mm","T","0","7.5K","True"
"C2","C0402","51.003mm","14.656mm","51.006mm","14.65mm","51.506mm","14.65mm","T","180","22pF/C0G","True"
"C15","CAP_POL_3216","59.639mm","12.878mm","59.642mm","12.872mm","61.042mm","12.872mm","T","180","22uF/10V","True"
"J4","MCX_WE_60611002111502","71.704mm","33.757mm","71.7mm","33.75mm","71.7mm","33.75mm","B","90","CONN_MCX","False"
"J3","MCX_WE_60611002111502","71.704mm","25.248mm","71.7mm","25.25mm","71.7mm","25.25mm","B","90","CONN_MCX","False"
"J2","MCX_WE_60611002111502","71.704mm","16.739mm","71.7mm","16.75mm","71.7mm","16.75mm","B","90","CONN_MCX","False"
"J1","MCX_WE_60611002111502","71.704mm","8.255mm","71.7mm","8.25mm","71.7mm","8.25mm","B","90","CONN_MCX","False"
"R29","R0402","47.193mm","24.536mm","47.196mm","24.556mm","47.196mm","24.056mm","T","90","100K","True"
"R27","R0402","50.241mm","27.864mm","50.244mm","27.858mm","50.744mm","27.858mm","T","180","0R/51R","True"
"L13","FER0805","4.394mm","84.836mm","4.397mm","84.839mm","4.397mm","85.76mm","B","270","1K@100MHz","True"
"C65","C0805","6.426mm","84.836mm","6.429mm","84.839mm","6.429mm","85.76mm","B","270","10uF","True"
"C11","C0402","45.161mm","10.058mm","45.164mm","10.078mm","45.164mm","9.578mm","T","90","DNP","True"
"C1","C0402","53.797mm","8.788mm","53.8mm","8.808mm","53.8mm","8.308mm","T","90","DNP","True"
"C27","C0603","47.955mm","26.594mm","47.958mm","26.588mm","48.72mm","26.588mm","T","180","2.2uF/DNP","True"
"C25","C0805","47.447mm","22.022mm","47.45mm","22.016mm","46.529mm","22.016mm","T","0","DNP/1uF","True"
"D4","SMAF - BI","65.989mm","13.894mm","65.992mm","13.888mm","65.992mm","11.888mm","T","90","DNP/SMAFJ26CA","True"
"C35","C0402","16.459mm","19.456mm","16.462mm","19.476mm","16.462mm","18.976mm","T","90","100nF","True"
"C32","C0603","19.634mm","22.276mm","19.637mm","22.27mm","18.875mm","22.27mm","T","0","10uF","True"
"L11","FER0805","30.556mm","35.484mm","30.559mm","35.478mm","30.559mm","34.557mm","T","90","1K@100MHz","True"
"L10","INDUCTOR 0420 4.6X4.1X2MM","25.349mm","35.738mm","25.352mm","35.732mm","23.357mm","35.732mm","T","0","2.2uH","True"
"L4","FER0603","54.559mm","26.975mm","54.562mm","26.969mm","55.324mm","26.969mm","T","180","1K@100MHz","True"
"L3","FER0603","57.861mm","14.91mm","57.864mm","14.904mm","57.102mm","14.904mm","T","0","1K@100MHz","True"
"C50","C0805","36.017mm","29.896mm","36.02mm","29.89mm","36.02mm","30.811mm","T","270","10uF","True"
"C44","C0805","28.524mm","31.928mm","28.527mm","31.922mm","28.527mm","32.843mm","T","270","10uF","True"
"C10","C0402","51.257mm","18.72mm","51.26mm","18.714mm","51.76mm","18.714mm","T","180","1uF","True"
"L2","FER0603","48.463mm","16.942mm","48.466mm","16.936mm","47.704mm","16.936mm","T","0","1K@100MHz","True"
"L1","FER0603","42.875mm","6.02mm","42.878mm","6.014mm","42.116mm","6.014mm","T","0","1K@100MHz","True"
"R66","R0402","29.667mm","23.546mm","29.67mm","23.54mm","29.17mm","23.54mm","T","0","1.5K","True"
"L12","FER0603","37.541mm","10.338mm","37.544mm","10.332mm","37.544mm","9.57mm","T","90","1K@100MHz","True"
"C63","C0603","36.144mm","10.338mm","36.147mm","10.332mm","36.147mm","11.094mm","T","270","10uF","True"
"C62","C0402","28.397mm","14.376mm","28.4mm","14.396mm","28.4mm","13.896mm","T","90","100nF","True"
"C59","C0603","26.238mm","14.021mm","26.241mm","14.015mm","27.003mm","14.015mm","T","180","4.7uF","True"
"C58","C0402","27.635mm","12.09mm","27.638mm","12.11mm","27.638mm","12.61mm","T","270","100nF","True"
"J6","B2B-0.5MM-20P-M_MEDIUM","7.112mm","68.682mm","7.1mm","68.7mm","4.849mm","70.7mm","T","0","CONN_B2B_2X10","True"
"J5","B2B-0.5MM-20P-F_MEDIUM","7.112mm","12.09mm","7.1mm","12.1mm","4.849mm","10.1mm","B","0","CONN_B2B_2X10","True"
"U6","ANALOG TSOT-23-5 UJ-5","23.216mm","24.536mm","23.193mm","24.556mm","21.883mm","25.506mm","T","0","LP5907MFX-3.0","True"
"L6","FER0603","33.985mm","27.356mm","33.988mm","27.35mm","34.75mm","27.35mm","T","180","1K@100MHz","True"
"C37","C0603","20.396mm","24.562mm","20.399mm","24.556mm","20.399mm","25.318mm","T","270","10uF","True"
"U8","WSON-12-2X3MM VIA","38.557mm","32.944mm","38.56mm","32.938mm","37.56mm","34.188mm","T","0","LM27762 (B)","True"
"R54","R0402","40.462mm","30.15mm","40.465mm","30.144mm","39.965mm","30.144mm","T","0","130K","True"
"R53","R0402","38.938mm","35.357mm","38.941mm","35.351mm","38.441mm","35.351mm","T","0","10K","True"
"R52","R0402","38.176mm","30.15mm","38.179mm","30.144mm","37.679mm","30.144mm","T","0","402K","True"
"U10","MICROCHIP SOT-23-6 M6","14.935mm","16.662mm","14.938mm","16.682mm","16.248mm","15.732mm","T","180","USBLC6-2","True"
"U9","ST LQFP-48 7x7MM","34.239mm","18.186mm","34.242mm","18.206mm","31.492mm","13.956mm","T","90","STM32F303CBT6","True"
"R46","R1206","8.966mm","26.086mm","8.969mm","26.08mm","8.969mm","27.731mm","T","270","0.25R","True"
"R43","R0402","16.205mm","24.282mm","16.208mm","24.302mm","16.208mm","24.802mm","T","270","6.2K","True"
"R41","R0402","17.475mm","24.282mm","17.478mm","24.302mm","17.478mm","24.802mm","T","270","0R","True"
"R40","R0402","20.015mm","27.356mm","20.018mm","27.35mm","19.518mm","27.35mm","T","0","10K","True"
"R38","R0402","19.507mm","31.394mm","19.51mm","31.414mm","19.51mm","30.914mm","T","90","1K","True"
"R36","R0402","19.507mm","29.108mm","19.51mm","29.128mm","19.51mm","28.628mm","T","90","1K","True"
"R63","R0603","11.201mm","84.201mm","11.2mm","84.2mm","11.2mm","84.962mm","B","270","10R","True"
"R61","R0402","28.27mm","4.496mm","28.273mm","4.49mm","28.773mm","4.49mm","T","180","10K","True"
"R58","R0402","25.857mm","10.338mm","25.86mm","10.332mm","26.36mm","10.332mm","T","180","20K","True"
"R59","R0402","30.175mm","26.086mm","30.178mm","26.08mm","29.678mm","26.08mm","T","0","33R","True"
"R60","R0402","30.175mm","24.816mm","30.178mm","24.81mm","29.678mm","24.81mm","T","0","33R","True"
"R56","R0402","25.73mm","6.248mm","25.733mm","6.268mm","25.733mm","6.768mm","T","270","1K","True"
"R55","R0402","23.571mm","10.338mm","23.574mm","10.332mm","24.074mm","10.332mm","T","180","10K","True"
"LED1","LED0603_RED","18.745mm","35.408mm","18.748mm","35.4mm","18.748mm","36.162mm","T","270","ºìÉ«","True"
"L9","INDUCTOR 0420 4.6X4.1X2MM","10.363mm","33.706mm","10.366mm","33.7mm","12.361mm","33.7mm","T","180","4.7uH","True"
"L5","FER0603","45.415mm","33.833mm","45.418mm","33.827mm","44.656mm","33.827mm","T","0","1K@100MHz","True"
"D6","SOD123F","14.173mm","34.087mm","14.176mm","34.081mm","14.176mm","35.481mm","T","270","DSK24/40V/2A","True"
"D7","SOD123F","24.079mm","7.417mm","24.082mm","7.411mm","24.082mm","8.811mm","T","270","1N4148W","True"
"C30","C1206","16.459mm","33.833mm","16.462mm","33.827mm","16.462mm","32.176mm","T","90","10uF","True"
"C40","C1206","11.633mm","26.086mm","11.636mm","26.08mm","11.636mm","24.429mm","T","90","10uF","True"
"C39","C1206","10.363mm","30.15mm","10.366mm","30.144mm","8.715mm","30.144mm","T","0","10uF","True"
"C36","C0402","14.173mm","24.816mm","14.176mm","24.81mm","14.676mm","24.81mm","T","180","100nF","True"
"C61","C0402","29.667mm","22.276mm","29.67mm","22.27mm","30.17mm","22.27mm","T","180","100nF","True"
"C66","C0603","8.204mm","84.582mm","8.207mm","84.585mm","8.207mm","83.823mm","B","90","100nF","True"
"C64","C0402","36.525mm","12.37mm","36.528mm","12.364mm","36.028mm","12.364mm","T","0","1uF","True"
"C60","C0402","38.43mm","22.758mm","38.433mm","22.778mm","38.433mm","22.278mm","T","90","100nF","True"
"C57","C0402","28.905mm","12.09mm","28.908mm","12.11mm","28.908mm","12.61mm","T","270","1uF","True"
"C56","C0402","33.477mm","11.735mm","33.48mm","11.729mm","32.98mm","11.729mm","T","0","12pF","True"
"C55","C0402","31.445mm","11.735mm","31.448mm","11.729mm","30.948mm","11.729mm","T","0","12pF","True"
"C54","C0402","27.508mm","5.766mm","27.511mm","5.76mm","28.011mm","5.76mm","T","180","100nF","True"
"C53","C0402","28.397mm","10.338mm","28.4mm","10.332mm","28.9mm","10.332mm","T","180","100nF","True"
"C52","C0402","25.73mm","8.534mm","25.733mm","8.554mm","25.733mm","9.054mm","T","270","100nF","True"
"C51","C0805","34.62mm","32.69mm","34.623mm","32.684mm","35.544mm","32.684mm","T","180","10uF","True"
"C49","C0603","41.478mm","32.309mm","41.481mm","32.303mm","41.481mm","33.065mm","T","270","1uF/X7R","True"
"C48","C0402","23.571mm","28.372mm","23.574mm","28.366mm","24.074mm","28.366mm","T","180","100nF","True"
"C47","C0402","36.017mm","34.849mm","36.02mm","34.843mm","36.02mm","34.343mm","T","90","1uF","True"
"C45","C0805","32.588mm","35.484mm","32.591mm","35.478mm","32.591mm","36.399mm","T","270","10uF","True"
"C43","C0805","30.556mm","31.928mm","30.559mm","31.922mm","30.559mm","32.843mm","T","270","10uF","True"
"VD2","DIODES SOT-323-3","56.49mm","24.409mm","56.467mm","24.302mm","57.117mm","25.252mm","T","270","BAV199W","True"
"VD1","DIODES SOT-323-3","56.49mm","17.577mm","56.467mm","17.698mm","55.817mm","16.748mm","T","90","BAV199W","True"
"R51","R0402","25.857mm","28.372mm","25.86mm","28.366mm","26.36mm","28.366mm","T","180","48.7K","True"
"R50","R0402","28.143mm","28.372mm","28.154mm","28.366mm","28.654mm","28.366mm","T","180","470K","True"
"Q4","ON SEMI SOT-363","27.889mm","7.772mm","27.892mm","7.792mm","28.812mm","7.142mm","T","180","UMH3N","True"
"C42","C0805","22.174mm","31.928mm","22.177mm","31.922mm","22.177mm","32.843mm","T","270","10uF","True"
"C41","C0805","41.224mm","35.484mm","41.227mm","35.478mm","41.227mm","34.557mm","T","90","10uF","True"
"USB1","Type-C-TOP","7.163mm","77.597mm","2mm","77.6mm","4.6mm","73.28mm","T","180","Type-C","True"
"SW5","TACTILE_SWITCH_SMD_4X4MM_NO_CASE","19.507mm","6.604mm","19.5mm","6.6mm","16.6mm","8.45mm","T","0","Button-4P","True"
"SW4","TACTILE_SWITCH_SMD_4X4MM_NO_CASE","11.506mm","6.604mm","11.5mm","6.6mm","14.4mm","4.75mm","T","180","Button-4P","True"
"R49","R0402","21.793mm","28.854mm","21.796mm","28.874mm","21.796mm","29.374mm","T","270","300R","True"
"R48","R0402","37.16mm","35.966mm","37.163mm","35.986mm","37.163mm","35.486mm","T","90","205K","True"
"R47","R0402","38.938mm","36.627mm","38.941mm","36.621mm","39.441mm","36.621mm","T","180","649K","True"
"R11","R0402","56.591mm","32.436mm","56.594mm","32.43mm","57.094mm","32.43mm","B","180","100K","True"
"R10","R0402","56.591mm","33.706mm","56.594mm","33.7mm","56.094mm","33.7mm","B","0","10K","True"
"C18","C0402","51.257mm","23.292mm","51.26mm","23.286mm","51.76mm","23.286mm","T","180","1uF","True"
"C17","C0402","54.305mm","11.862mm","54.308mm","11.856mm","54.808mm","11.856mm","T","180","1uF","True"
"C16","CAP_POL_3216","52.527mm","25.07mm","52.53mm","25.064mm","53.93mm","25.064mm","T","180","22uF/10V","True"
"U2","ANALOG MSOP-8 RM-8","52.527mm","20.98mm","52.53mm","21mm","54.73mm","20.025mm","T","180","AD8221ARMZ","True"
"R20","R0603","59.766mm","21.006mm","59.769mm","21mm","59.769mm","20.238mm","T","90","DNP/1M","True"
"R45","R0402","18.237mm","20.879mm","18.24mm","20.873mm","17.74mm","20.873mm","T","0","20K","True"
"SW3","TACTILE_SWITCH_SMD_4X4MM_NO_CASE","11.201mm","65.608mm","11.2mm","65.6mm","13.05mm","62.7mm","B","90","Button-4P","True"
"SW2","TACTILE_SWITCH_SMD_4X4MM_NO_CASE","11.201mm","77.597mm","11.2mm","77.6mm","9.35mm","80.5mm","B","270","Button-4P","True"
"SW1","TACTILE_SWITCH_SMD_4X4MM_NO_CASE","11.201mm","89.611mm","11.2mm","89.6mm","13.05mm","86.7mm","B","90","Button-4P","True"
"X1","EPSON TSX-3225","32.461mm","9.55mm","32.464mm","9.57mm","33.564mm","10.37mm","T","180","8MHz","True"
"VD3","DIODES SOT-323-3","55.956mm","35.611mm","55.832mm","35.605mm","56.782mm","34.955mm","T","180","BAV199W","True"
"U5","HVQFN-16 4X4MM 0.65","15.951mm","28.372mm","15.954mm","28.366mm","16.929mm","30.316mm","T","270","TP5000","True"
"U3","ANALOG DEV SOIC-8 R8","51.511mm","33.426mm","51.514mm","33.446mm","49.609mm","30.721mm","T","90","AD8606","True"
"U4","ANALOG TSOT-23-5 UJ-5","39.065mm","26.568mm","39.068mm","26.588mm","37.758mm","27.538mm","T","0","LP5907MFX-3.0","True"
"U1","ANALOG DEV SOIC-8 R8","49.479mm","10.084mm","49.482mm","10.078mm","52.207mm","8.173mm","T","180","AD8066","True"
"R44","R0402","8.458mm","19.101mm","8.461mm","19.095mm","8.461mm","19.595mm","T","270","20K","True"
"R42","R0402","16.459mm","21.742mm","16.462mm","21.762mm","16.462mm","21.262mm","T","90","20K","True"
"R39","R0402","4.521mm","17.577mm","4.524mm","17.571mm","5.024mm","17.571mm","T","180","20K","True"
"R65","R0402","10.49mm","72.009mm","10.493mm","72.012mm","10.493mm","72.512mm","T","270","5.1K","True"
"R7","R0402","46.939mm","15.138mm","46.942mm","15.158mm","46.942mm","14.658mm","T","90","1M","True"
"R64","R0402","10.49mm","83.185mm","10.493mm","83.188mm","10.493mm","82.688mm","T","90","5.1K","True"
"R35","R1206","66.243mm","29.388mm","66.246mm","29.382mm","66.246mm","27.731mm","T","90","33R/1%/0.1%","True"
"R34","R0603","63.83mm","30.404mm","63.833mm","30.398mm","63.833mm","29.636mm","T","90","10K/1%/0.1%","True"
"R33","R0402","41.859mm","19.355mm","41.862mm","19.349mm","41.862mm","18.849mm","T","90","0R","True"
"R32","R0603","55.067mm","32.944mm","55.07mm","32.938mm","55.07mm","33.7mm","T","270","300R","True"
"R30","R0603","62.306mm","30.404mm","62.309mm","30.398mm","62.309mm","31.16mm","T","270","13K","True"
"R31","R0603","55.067mm","29.896mm","55.07mm","29.89mm","55.07mm","29.128mm","T","90","1M","True"
"R28","R0402","47.193mm","28.6mm","47.196mm","28.62mm","47.196mm","28.12mm","T","90","100K","True"
"R26","R0402","53.289mm","28.6mm","53.292mm","28.62mm","53.292mm","29.12mm","T","270","200K/2K","True"
"R25","R0603","71.704mm","29.489mm","71.7mm","29.5mm","71.7mm","28.738mm","T","90","3K","True"
"R24","R0603","59.258mm","23.292mm","59.261mm","23.286mm","58.499mm","23.286mm","T","0","300R","True"
"R23","R0603","61.544mm","23.165mm","61.547mm","23.159mm","61.547mm","22.397mm","T","90","1M","True"
"R22","R0603","56.845mm","21.006mm","56.848mm","21mm","56.848mm","20.238mm","T","90","3.57K/0.1%, 3.6K/0.1%||300K/0.1%","True"
"R19","R0402","45.923mm","17.958mm","45.926mm","17.952mm","45.426mm","17.952mm","T","0","300R","True"
"R18","R0603","61.544mm","18.847mm","61.547mm","18.841mm","61.547mm","18.079mm","T","90","1M","True"
"R17","R0603","59.258mm","18.72mm","59.261mm","18.714mm","58.499mm","18.714mm","T","0","300R","True"
"R16","R0603","71.704mm","12.497mm","71.7mm","12.5mm","71.7mm","11.738mm","T","90","3K","True"
"R15","R0402","64.592mm","20.422mm","64.595mm","20.429mm","65.095mm","20.429mm","T","180","6.98K","True"
"R14","R0402","64.592mm","21.565mm","64.595mm","21.572mm","64.095mm","21.572mm","T","0","5.1K","True"
"R13","R0402","44.653mm","11.862mm","44.656mm","11.856mm","45.156mm","11.856mm","T","180","3K","True"
"R12","R0402","43.891mm","10.058mm","43.894mm","10.078mm","43.894mm","9.578mm","T","90","6.2K","True"
"R9","R0402","53.289mm","5.766mm","53.292mm","5.76mm","53.792mm","5.76mm","T","180","51R","True"
"R5","R0402","48.717mm","14.656mm","48.72mm","14.65mm","49.22mm","14.65mm","T","180","7.5K","True"
"R3","R0402","53.289mm","7.036mm","53.292mm","7.03mm","53.792mm","7.03mm","T","180","51R","True"
"R2","R0402","54.305mm","10.592mm","54.308mm","10.586mm","53.808mm","10.586mm","T","0","3K","True"
"R1","R0402","55.067mm","8.788mm","55.07mm","8.808mm","55.07mm","8.308mm","T","90","6.2K","True"
"Q3","INFINEON SOT-23-3","10.49mm","19.101mm","10.747mm","19.095mm","9.862mm","20.045mm","T","0","2N7002K","True"
"Q2","INFINEON SOT-23-3","12.395mm","22.022mm","12.398mm","21.762mm","13.348mm","22.647mm","T","270","SI2301","True"
"Q1","INFINEON SOT-23-3","59.131mm","35.738mm","59.134mm","35.478mm","58.184mm","36.363mm","B","270","2N7002K","True"
"P1","2.54MM_MALE_X4 180H NO SLIKSCREEN","5.055mm","28.397mm","3mm","28.4mm","5.05mm","24.59mm","T","90","CONN_X4","True"
"L7","FER0603","18.872mm","24.562mm","18.875mm","24.556mm","18.875mm","25.318mm","T","270","1K@100MHz","True"
"K1","RELAY_G6K-2F-Y","62.941mm","28.753mm","62.944mm","28.747mm","59.134mm","32.247mm","B","0","G6K (B)","True"
"D1","SOD123F","56.591mm","29.007mm","56.594mm","29.001mm","56.594mm","27.601mm","B","90","1N4148W","True"
"D5","INFINEON SOT-23-3","5.918mm","14.021mm","5.667mm","14.015mm","6.552mm","13.065mm","T","180","BAT54C","True"
"D3","SOD123F","63.449mm","13.132mm","63.452mm","13.126mm","63.452mm","14.526mm","T","270","1N4148W","True"
"D2","SOD123F","58.623mm","7.544mm","58.626mm","7.538mm","57.226mm","7.538mm","T","0","1N4148W","True"
"C31","C0603","15.062mm","21.133mm","15.065mm","21.127mm","15.065mm","21.889mm","T","270","100nF","True"
"C9","C0402","44.653mm","8.306mm","44.656mm","8.3mm","44.156mm","8.3mm","T","0","1uF","True"
"C23","CAP_POL_3216","44.907mm","35.992mm","44.91mm","35.986mm","46.31mm","35.986mm","T","180","22uF/10V, 47uF/6.3V","True"
"C38","C0603","23.698mm","26.975mm","23.701mm","26.969mm","24.463mm","26.969mm","T","180","10uF","True"
"C34","C0603","41.859mm","26.594mm","41.862mm","26.588mm","41.862mm","27.35mm","T","270","10uF","True"
"C33","C0603","36.271mm","26.594mm","36.274mm","26.588mm","36.274mm","27.35mm","T","270","10uF","True"
"C24","C0402","48.209mm","35.712mm","48.212mm","35.732mm","48.212mm","35.232mm","T","90","1uF","True"
"C70","C0603","5.029mm","76.835mm","5.032mm","76.838mm","4.27mm","76.838mm","B","0","4.7nF/C0G","True"
"C8","CAP_POL_3216","52.527mm","16.942mm","52.53mm","16.936mm","51.13mm","16.936mm","T","0","22uF/10V","True"
"C7","CAP_POL_3216","46.939mm","6.02mm","46.942mm","6.014mm","45.542mm","6.014mm","T","0","22uF/10V","True"
"C29","C0402","40.589mm","18.339mm","40.592mm","18.333mm","40.592mm","18.833mm","T","270","DNP","True"
"C28","C1206","58.623mm","28.88mm","58.626mm","28.874mm","56.975mm","28.874mm","T","0","220nF/50V/C0G","True"
"C26","C0402","48.463mm","29.616mm","48.466mm","29.636mm","48.466mm","30.136mm","T","270","1uF","True"
"C22","C0402","52.019mm","28.6mm","52.022mm","28.62mm","52.022mm","28.12mm","T","90","10nF/DNP","True"
"C21","C1206","64.973mm","23.546mm","64.976mm","23.54mm","63.325mm","23.54mm","T","0","220nF/50V/C0G","True"
"C20","C0402","44.907mm","16.688mm","44.91mm","16.682mm","44.41mm","16.682mm","T","0","1nF/C0G","True"
"C19","C1206","64.973mm","18.466mm","64.976mm","18.46mm","63.325mm","18.46mm","T","0","220nF/50V/C0G","True"
"C12","C0402","62.306mm","21.006mm","62.309mm","21mm","62.809mm","21mm","T","180","100nF","True"
"C14","CAP AL DIP -90 D=6.3 L=12.1","64.973mm","9.576mm","64.976mm","9.57mm","63.726mm","9.57mm","B","90","220uF/35V","False"
"C13","CAP AL DIP +90 D=6.3 L=12.1","58.623mm","9.576mm","58.626mm","9.57mm","59.876mm","9.57mm","B","90","220uF/35V","False"
"C4","C0402","46.431mm","13.386mm","46.434mm","13.38mm","46.934mm","13.38mm","T","180","100pF/C0G","True"
"C5","C1206","42.621mm","13.894mm","42.624mm","13.888mm","40.973mm","13.888mm","T","0","220nF/50V/C0G","True"
"C3","C0603","55.956mm","5.766mm","55.959mm","5.76mm","55.197mm","5.76mm","T","0","4.7nF/C0G","True"
